TotalSalesValue,AllocatedValue,Status,QtyAllocated,xLineNumber,InvoiceDate,SalesQuantity,SalesQtyAllocated,InvoiceNo,ItemNumber,ItemDescription,DutyFreePaid,pCNumber,pRegistrationDate,pQuantity,pQtyAllocated,PiQuantity,xCNumber,xRegistrationDate,pLineNumber,SalesCost,Total_CIF_itm,DutyLiability,TaxAmount,pIsAssessed,DoNotAllocateSales,DoNotAllocatePreviousEntry,SANumber,pReferenceNumber,xReferenceNumber,TariffCode,Invalid,pExpiryDate
"33.4099998474121","33.4099998474121","Over Allocated Entry by 1","1",,"9/19/2018 12:00:00 AM","1","0","GB00043691","COH/55054","Toggle Switch, DPDT (On)-Off-(On) MET SC","Duty Paid","37706","10/5/2018 12:00:00 AM","2","2",,,,"162","33.4099998474121","66.8199996948242","14.47","3.6399998664856","True",,,"2","OPS-2018-08-31-F5",,"85365000","False","10/4/2020 12:00:00 AM"
"2.32999992370605","2.32999992370605","Over Allocated Entry by 1","1",,"9/19/2018 12:00:00 AM","1","0","GB00043700","CUP/PL5","Paint Pail, Plast 2.5Qt/2.4Lt","Duty Free","37706","10/5/2018 12:00:00 AM","34","34",,,,"294","2.32999992370605","79.2200012207031","30.81","0","True",,,"3","OPS-2018-08-31-F5",,"39249090","False","10/4/2020 12:00:00 AM"
"53.1399993896484","53.1399993896484","Over Allocated Entry by 1","1",,"9/19/2018 12:00:00 AM","1","0","GB00043717","SEM/10224","Teak Sealer Natural Semco Qt","Duty Free","37770","10/5/2018 12:00:00 AM","2","2",,,,"152","53.1399993896484","106.279998779297","23.01","0","True",,,"1","OPS-2018-08-31-F18",,"32149000","False","10/4/2020 12:00:00 AM"
"10.9700002670288","10.9700002670288","No Asycuda Entries Found","1",,"9/19/2018 12:00:00 AM","1","0","GB00043725","ENC/51640","Pail, Bucket Wh-Plast 90mil 5Gal","Duty Free",,,,,,,,,"10.9700002670288",,,"0",,,,"12",,,,,
"644.650024414063","644.650024414063","No Asycuda Entries Found","1",,"9/19/2018 12:00:00 AM","1","0","GB00043730","AWL/F5194GL","Acryl-U Paint, Awlcraft 2000 Strs & Stri","Duty Free",,,,,,,,,"644.650024414063",,,"0",,,,"1",,,,,
"215.110000610352","215.110000610352","No Asycuda Entries Found","1",,"9/19/2018 12:00:00 AM","1","0","GB00043730","AWL/F5194QT","Acryl-U Paint, Awlcraft 2000 Strs & Stri","Duty Free",,,,,,,,,"215.110000610352",,,"0",,,,"2",,,,,
"215.110000610352","215.110000610352","No Asycuda Entries Found","1",,"9/19/2018 12:00:00 AM","1","0","GB00043730","AWL/F5194QT","Acryl-U Paint, Awlcraft 2000 Strs & Stri","Duty Free",,,,,,,,,"215.110000610352",,,"0",,,,"3",,,,,
"512.880004882813","512.880004882813","No Asycuda Entries Found","1",,"9/19/2018 12:00:00 AM","1","0","GB00043730","AWL/G3010GL","Converter-Spray, Awlcat No2 Gal","Duty Free",,,,,,,,,"512.880004882813",,,"0",,,,"6",,,,,
"36.0900001525879","36.0900001525879","No Asycuda Entries Found","1",,"9/19/2018 12:00:00 AM","1","0","GB00043731","SHM/FX4000FB","Reel, FX4000FB Front Drag","Duty Free",,,,,,,,,"36.0900001525879",,,"0",,,,"2",,,,,
"31.1100006103516","31.1100006103516","Over Allocated Entry by 1","1",,"9/19/2018 12:00:00 AM","1","0","GB00043739","SLV/LACQTHN-GL","Lacquer Thinner,  Gal","Duty Free","37770","10/5/2018 12:00:00 AM","7","7",,,,"288","31.1100006103516","217.699996948242","72.17","0","True",,,"7","OPS-2018-08-31-F18",,"38140010","False","10/4/2020 12:00:00 AM"
